n	mean	var
8	8.22945e-05	4.26952e-06
9	0.000405987	3.1929e-06
10	0.00189203	7.0037e-06
11	0.00938856	1.73415e-05
12	0.05012	4.09607e-05
13	0.301506	0.0278001
14	1.71247	0.000481851
15	11.3146	0.624572
16	76.5222	0.767994
