n	mean	var
8	7.98211e-05	4.17699e-06
9	0.000388568	6.4713e-06
10	0.0018117	1.40791e-05
11	0.0089838	2.11903e-05
12	0.0477838	1.74462e-05
13	0.270143	0.000478727
14	1.72582	0.137433
15	10.5007	0.0964338
16	72.8211	0.488007
