n	mean	var
08	0.003276	0.046609
09	0.001040	0.000264
10	0.001975	0.000362
11	0.003794	0.000546
12	0.008975	0.000708
13	0.042256	0.000217
14	0.202914	0.010790
15	0.996856	0.038046
16	5.834853	0.037336
17	45.864117	1.926155
18	334.966146	11.278998
