n	mean	var
8	0.000106038	3.03911e-05
9	0.000402812	2.47776e-05
10	0.00233979	0.000134256
11	0.0119229	5.15027e-05
12	0.0635082	9.56998e-05
13	0.298678	0.036304
14	2.09536	0.178536
15	13.3751	0.728602
16	77.6874	1.02674
