n	mean	var
8	0.000278791	5.68559e-05
9	0.000368482	0.000109436
10	0.000757659	0.000137688
11	0.00160108	0.000218203
12	0.00519488	8.01577e-05
13	0.0279501	0.00218462
14	0.1457	0.00105121
15	0.777653	0.034455
16	4.95329	0.0157417
17	36.984	1.68087
18	277.76	5.18331
