n	mean	var
08	0.000106	0.000014
09	0.000416	0.000020
10	0.001922	0.000041
11	0.012237	0.000154
12	0.065204	0.000021
13	0.344044	0.035405
14	1.707146	0.030486
15	11.346939	0.526410
16	77.183605	0.492876
