n	mean	var
8	9.10917e-05	2.02924e-05
9	0.00050888	5.23022e-05
10	0.00234024	0.000121829
11	0.0118073	0.000577108
12	0.0622564	0.00200978
13	0.327798	0.00836211
14	1.9554	0.100902
15	11.2879	0.455341
16	77.8657	1.72515
