n	mean	var
8	0.000265024	4.0662e-05
9	0.000412858	9.54398e-05
10	0.000818818	0.00017058
11	0.00186138	0.000249849
12	0.00584062	0.000651009
13	0.0315593	0.00228546
14	0.148813	0.00866977
15	0.818853	0.00447046
16	5.3411	0.0974152
17	39.1809	1.80899
18	298.695	6.15529
