n	mean	var
8	0.000111714	1.226e-05
9	0.000476915	3.60292e-06
10	0.00222051	2.0554e-05
11	0.0110239	4.06773e-05
12	0.0586797	3.10528e-05
13	0.331406	7.34769e-05
14	2.09719	0.145545
15	12.9544	0.161236
16	88.7464	0.790805
