n	mean	var
8	0.000213319	0.0001671
9	0.000408058	0.000130948
10	0.00106328	0.000415181
11	0.00327543	0.00046214
12	0.012028	0.00143857
13	0.060645	0.00223555
14	0.338898	0.0229593
15	2.17894	0.135206
16	14.7706	0.657024
