n	mean	var
8	7.34867e-05	3.79536e-06
9	0.000349265	9.20241e-06
10	0.00166116	9.19044e-06
11	0.00820286	1.91273e-05
12	0.0438282	3.87362e-05
13	0.247744	3.64924e-05
14	1.52527	0.0426535
15	10.0273	0.534647
16	67.3376	0.54267
