n	mean	var
08	0.000081	0.000021
09	0.000167	0.000018
10	0.000508	0.000082
11	0.001846	0.000120
12	0.008269	0.000353
13	0.041779	0.000919
14	0.201952	0.008289
15	0.966559	0.070690
16	5.869525	0.032366
17	46.330204	1.687013
18	332.789446	15.765847
