n	mean	var
8	8.64543e-05	2.65957e-05
9	0.000394118	8.07019e-05
10	0.00174125	0.000213037
11	0.00845593	0.000442337
12	0.0448708	0.0014001
13	0.249919	0.00346929
14	1.55589	0.0454301
15	10.5329	0.426792
16	70.8348	0.530068
