 nd  seq                                          par
[8  9.061099999999999e-05 1.3742415588626627e-05 0.00012279370000000002 3.740064481585976e-05]
[9  0.00044185205000000003 3.577838090460739e-05 0.00022055465000000003 4.009826686013766e-05]
[10 0.0019780417 5.808268484813852e-05 0.0005480423 4.841219399460215e-06]
[11 0.010073990299999998 6.970939675422189e-05 0.002360942550000001 4.6402931857743104e-05]
[12 0.0540425794 0.0005720838273965148 0.012218027949999998 0.0005255668964848297]
[13 0.30518556305 0.003931942643387957 0.08579711170000001 0.010413055655506815]
[14 1.8061741428000002 0.04996033625699131 0.5102211545500001 0.05908694362480629]
[15 10.928442486000002 0.11780773103080075 3.4408048094000003 0.4732869329472661]
[16 73.68666989779999 1.0174572139481157 22.9841409701 2.161862634180407]
[17 527.5144213685 2.761291475324291 140.8599953374 6.108803807214202]
[18 4014.0524274132003 23.797021156245425 1068.7105484574 61.48955504988596]
